     0.104	      2.013
     0.116	      2.037
     0.134	      2.013
     0.197	      2.135
     0.244	      2.161
     0.312	      2.238
     0.376	      2.292
     0.475	      2.346
     0.541	      2.374
     0.645	      2.402
     0.751	      2.459
     0.864	      2.489
      0.96	      2.518
      1.05	      2.548
      1.19	      2.578
       1.3	      2.609
      1.38	       2.64
      1.53	      2.671
      1.69	      2.671
      1.89	      2.702
      2.13	      2.734
      2.48	      2.767
      2.73	        2.8
      3.17	      2.833
      3.53	      2.833
      4.06	      2.866
      4.46	        2.9
      5.25	      2.935
      6.05	      2.969
      6.88	      3.005
      8.01	      3.005
       8.8	       3.04
      11.7	       3.04
        13	      3.005
      15.1	       3.04
      18.4	      3.005
      21.9	      2.935
      24.1	        2.9
      28.4	      2.833
      32.7	      2.702
      40.4	      2.548
        51	      2.402
      60.1	      2.265
      73.4	       2.11
      84.5	      2.013
       102	      1.854
       123	      1.707
       148	      1.572
       192	      1.398
       226	      1.287
       286	      1.158
       426	     0.9477
       564	     0.8424
       811	     0.7314
 1.13e+003	     0.6426
 1.36e+003	      0.635
  1.7e+003	     0.5987
       990	     0.6579
       627	     0.8132
       357	      1.041
      45.9	      2.459
      16.8	      3.005
      10.4	      2.969
      9.33	      3.005
     0.171	      2.086
     0.151	      2.037
     0.217	      2.161
     0.277	      2.212
     0.334	      2.238
     0.423	      2.319
