     0.106	      1.572
     0.125	      1.572
     0.144	      1.572
     0.191	      1.572
     0.222	      1.591
     0.249	      1.572
      0.28	      1.572
     0.319	      1.554
     0.355	      1.572
     0.408	      1.554
     0.443	      1.554
     0.528	      1.554
      0.63	      1.554
      0.76	      1.554
     0.864	      1.591
     0.995	      1.572
      1.13	      1.591
       1.4	      1.572
      1.69	      1.572
      1.94	      1.591
      2.42	      1.591
      2.92	      1.572
       3.4	       1.61
      4.46	      1.591
       5.7	      1.629
      5.98	      1.591
      6.96	       1.61
      8.49	       1.61
      11.1	      1.591
      14.2	      1.572
      19.3	      1.572
        25	      1.482
      29.8	      1.465
      38.1	      1.398
      45.4	      1.333
      54.8	      1.257
      60.1	      1.228
      70.9	      1.131
        95	      1.005
       120	     0.9256
       147	     0.8625
       175	     0.8037
       206	     0.7667
       251	     0.7144
       361	     0.6203
       296	     0.6736
       457	     0.5712
       577	     0.5322
       730	     0.4959
       934	     0.4621
  1.1e+003	     0.4408
 1.37e+003	     0.4156
      17.4	      1.554
      4.16	       1.61
      85.5	      1.054
     0.171	      1.572
     0.692	      1.554
      1.23	      1.554
